Designator,Mid X,Mid Y,Rotation,Layer
CR1,143.4245,-88.26,180.0,bottom
J1,152.56,-77.09,0.0,bottom
J2,144.86,-111.8,0.0,top
J3,164.34,-103.5,0.0,top
J4,144.64,-94.04,180.0,top
J5,140.97,-94.04,180.0,top
R1,154.34,-85.445,270.0,bottom
R2,151.32,-85.45,270.0,bottom
